VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
JTMEB3FVXR,King,Kirkland,WA,98033,2024,TOYOTA,RAV4 PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,48,267771570,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022701
1FMCU0E10P,Skamania,North Bonneville,WA,98639,2023,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,14,267425672,POINT (-121.97 45.64119),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF SKAMANIA CO,53059950200
5YJ3E1EB7J,King,Seattle,WA,98144,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,37,475995131,POINT (-122.30866 47.57874),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009500
2C4RC1N74P,Spokane,Spokane,WA,99207,2023,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,3,255166201,POINT (-117.3973 47.67573),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063001600
5YJYGDEE7L,King,Redmond,WA,98052,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,45,124620667,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032322
JTDKARFP7J,King,Auburn,WA,98001,2018,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,30,475173569,POINT (-122.23035 47.3074),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030406
3C3CFFGE5H,Snohomish,Bothell,WA,98012,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,1,123235990,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107
WA13ABGE4P,King,Maple Valley,WA,98038,2023,AUDI,E-TRON,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5,221417136,POINT (-122.04526 47.39394),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031604
7SAYGDEE3S,King,Maple Valley,WA,98038,2025,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5,278390584,POINT (-122.04526 47.39394),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031604
2C4RC1N72J,Snohomish,Stanwood,WA,98292,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,10,273746791,POINT (-122.37265 48.24159),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053302
1G1RB6S56H,Clallam,Port Angeles,WA,98362,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,24,161860933,POINT (-123.43112 48.11892),BONNEVILLE POWER ADMINISTRATION||CITY OF PORT ANGELES - (WA),53009001300
